기간	자치구	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	독서실	독서실	독서실	독서실
기간	자치구	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	정원	강사수	강사수	강의실수	독서실수	독서실수	독서실수	열람실수
기간	자치구	계	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	정원	강사수	강사수	강의실수	계	학교교과교습학원	평생직업교육학원	열람실수
기간	자치구	계	소계	입시검정 및 보습	국제화	예능	특수교육	종합	기타	소계	직업기술	국제화	인문사회	기예	종합	정원	계	여자	강의실수	계	학교교과교습학원	평생직업교육학원	열람실수
2018	양천구	1,062	1,027	745	63	145	-	33	41	35	17	2	1	13	2	166,496	6,364	3,569	6,818	92	92	-	763
2018	강서구	707	666	433	33	165	-	13	22	41	24	2	2	9	4	88,597	2,774	1,923	4,543	56	56	-	484
2018	구로구	427	366	235	15	94	-	9	13	61	39	5	2	8	7	63,580	1,862	1,275	1,517	31	29	2	268
2018	금천구	222	183	121	8	47	-	2	5	39	26	4	3	3	3	56,405	1,060	635	791	12	10	2	74
2018	영등포구	467	310	195	24	72	1	7	11	157	94	7	12	28	16	165,871	2,501	1,545	1,573	29	22	7	230
2018	동작구	458	349	221	19	81	-	8	20	109	20	-	67	12	10	81,914	5,056	1,838	1,845	95	23	72	450
2018	관악구	450	366	226	15	108	-	7	10	84	33	2	22	24	3	43,730	2,287	1,259	1,606	95	29	66	523
2018	서초구	1,130	868	552	81	136	-	31	68	262	117	33	30	65	17	840,002	8,997	5,045	4,704	72	64	8	417
2018	강남구	2,263	1,768	1,138	196	228	-	79	127	495	205	81	34	150	25	746,581	20,359	8,974	9,931	126	112	14	687
2018	송파구	1,051	981	640	50	229	-	14	48	70	36	5	4	21	4	343,023	4,977	3,214	6,412	103	103	-	834
2018	강동구	638	600	400	23	132	-	11	34	38	16	2	2	17	1	59,869	2,486	1,520	3,683	56	55	1	703
