산업대분류(명부 산업분류코드를 변환),산업중분류(명부 산업분류코드 2자리 자름),행정구역분류코드(명부),"조직형태(1:개인, 2:법인)",정보_산업분류코드,2-1.일반_대표자_성별,3.일반_입지유형,4.일반_사업자형태,5.일반_프랜차이즈가맹점여부,6-1.일반_종사자_1총종사자,6-2.일반_종사자_2대표자,6-3-1.일반_종사자_3근로계약기간_1년이상,6-3-2.일반_종사자_3근로계약기간_3개월이상1년미만,6-4.일반_종사자_4근로계약기간_3개월미만(일용포함),6-5.일반_종사자_5무급가족종사자,7.일반_창업형태,7-1.일반_창업인수승계연월_일반_창업인수승계연월_년,7-1.일반_창업인수승계연월_일반_창업인수승계연월_월,7-2.일반_사업장입주연월_일반_사업장입주연월_년,7-2.일반_사업장입주연월_일반_사업장입주연월_월,8.일반_사업장이전_경험,8-1.일반_사업장이전_사유,9.일반_현사업체_직전종사상지위항목,10.일반_창업횟수,11.창업_동기,12.창업_준비기간_창업_준비기간_년,12.창업_준비기간_창업_준비기간_개월,13-1.창업_준비활동_1사업계획서작성,13-2.창업_준비활동_2시장조사,13-3.창업_준비활동_3동종업종종사경험,13-4.창업_준비활동_4창업교육,14-1.창업_준비활동중요성_1사업계획서작성,14-2.창업_준비활동중요성_2시장조사,14-3.창업_준비활동중요성_3동종업종종사경험,14-4.창업_준비활동중요성_4창업교육,15-1.창업_어려움정도_1입지선정,15-2.창업_어려움정도_2업종선택,15-3.창업_어려움정도_3자금조달,15-4.창업_어려움정도_4기술확보,15-5.창업_어려움정도_5인력확보,15-6.창업_어려움정도_6행정절차,15-7.창업_어려움정도_7경영방법,16-1.창업_비용_총창업비용,16-1-1.창업_비용_1본인부담금액,17-1.경영_영업기간_1하루평균시간,17-2.경영_영업기간_2월평균일수,17-3.경영_영업기간_3연간개월수,18-1.경영_고객결재방법_1현금,18-2.경영_고객결재방법_2카드,18-3.경영_고객결재방법_3간편결제,18-4.경영_고객결재방법_4어음,18-5.경영_고객결재방법_5기타,18-6.경영_고객결재방법_6합계,19.경영_점유형태,19-1.경영_점유형태_임차형태,19-2-1.경영_점유형태_1보증금,19-2-2.경영_점유형태_2월세,19-3.경영_점유형태_일정비율지급,20.경영_운영활동_0,20.경영_운영활동_1,20.경영_운영활동_2,20.경영_운영활동_3,20.경영_운영활동_4,21.경영_단체활동,21-1.경영_단체활동_경영도움,21-2.경영_단체활동_비활동이유,22.경영_연간사업실적_영업비용입력선택,22.경영_연간사업실적_1매출액,22.경영_연간사업실적_2영업비용,22.영업비용_1급여총액,22.영업비용_2임차료,22.영업비용_3기타,22.영업비용비율,22.영업비용비율_1급여총액,22.영업비용비율_2임차료,22.영업비용비율_3기타,22.경영_연간사업실적_3영업이익,23.경영_전자상거래_매출실적여부,23-1.경영_전자상거래_매출비율,24.경영_부채_사업체운영관련부채여부,24-1.경영_부채_부채현황,25.경영_애로사항_0,25.경영_애로사항_1,26.정부지원_지원경험,28.정부지원_추진정책_0,28.정부지원_추진정책_1,29.사업전환_운영계획,29-1.사업전환_운영계획_소유권승계계획,29-2.사업전환_운영계획_사업전환_어려움_0,29-2.사업전환_운영계획_사업전환_어려움_1,29-3.사업전환_운영계획_사업전환_정부지원,29-4.사업전환_운영계획_취업시어려움_0,29-4.사업전환_운영계획_취업시어려움_1,29-5.사업전환_운영계획_취업시정부지원,30.사업전환_노후준비_0,30.사업전환_노후준비_1,30.사업전환_노후준비_2,30.사업전환_노후준비_3,30.사업전환_노후준비_4,조회차수,대표자 연령대(1자리),사업체수 가중치,종사자수 가중치,매출액 가충치
L,68,3501178,2,68222,1,1,4,2,3,1,1,1,0,0,1,2012,6,2018,11,1,1,2,2,3,0,4,1,2,1,2,5,4,5,5,5,5,5,5,5,5,5,700,700,9,20,12,11,89,0,0,0,100,2,1,3000,200,,1,,,,,2,,4,1,700,6,0,0,6,100,0,0,100,4,2,,2,,1,,2,7,,4,,,,,,,,1,,,,,2,5,66.3261,56,33.4538
C,25,3603063,1,25119,1,1,1,2,6,1,3,0,2,0,1,2002,7,2002,7,2,,3,1,,,,,,,,,,,,,,,,,,,,,4,30,12,20,80,0,0,0,100,1,,,,,6,,,,,2,,1,1,8,32,30,0,2,100,94,0,6,28,2,,2,,4,7,1,1,2,1,2,,,,,,,1,,,,,2,6,13.5833,9.5571,9.6247
N,74,3603034,2,74300,2,1,4,2,8,1,2,0,5,0,1,2014,1,2017,7,1,4,1,2,3,2,0,2,2,2,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,12,5,14,,,,,25,1,90,1,15,2,3,2,1,5,1,1,,,,,,,1,4,,,,2,4,111.6531,125.8487,114.9968
C,14,3602068,1,14499,1,1,1,2,2,1,0,0,0,1,1,2015,5,2015,5,2,,3,1,3,0,6,2,1,1,2,1,4,5,2,2,1,2,2,3,1,1,150,50,8,22,12,100,0,0,0,0,100,2,1,1300,310,,6,,,,,2,,1,1,1000,175,75,0,100,,,,,75,2,,1,300,1,7,1,1,2,2,,2,6,4,,,,1,4,,,,2,4,152.86,155.6747,169.4882
C,25,3705071,1,25913,1,1,1,2,9,1,8,0,0,0,1,2002,3,2002,3,2,,3,1,,,,,,,,,,,4,2,1,4,3,2,3,3,50,30,8,26,9,100,0,0,0,0,100,1,,,,,6,,,,,2,,1,1,30,6,0,0,6,,,,,12,2,,2,,1,2,3,3,4,1,2,,,,,,,4,,,,,2,7,162.4615,144.0882,230.3812
,,2100037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,12,100,0,0,0,0,100,2,1,1000,40,,2,4,,,,2,,1,1,30,24,0,4,20,,,,,30,2,,1,40,1,2,1,3,6,1,1,,,,,,,1,,,,,,,,,
G,47,3701161,1,47129,2,1,1,2,1,1,0,0,0,0,1,2015,5,2015,5,2,,4,1,1,0,2,2,2,2,2,1,2,1,3,2,1,3,2,2,1,2,800,100,8,26,12,100,0,0,0,0,100,2,1,1000,80,,6,,,,,1,1,,1,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,13,3811461,1,13224,1,1,1,2,1,1,0,0,0,0,1,1994,8,2006,8,1,1,3,1,,,,,,,,,,,,,,,,,,,,,8,30,12,100,0,0,0,0,100,2,1,500,30,,2,,,,,1,1,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,68,3811155,2,68222,1,1,4,2,2,1,1,0,0,0,2,2016,4,2016,4,2,,2,3,,,,,,,,,,,3,2,2,3,4,4,2,2,50,50,8,22,12,100,0,0,0,0,100,1,,,,,6,,,,,2,,4,1,824,4,0,3,1,,,,,4,2,,2,,1,2,2,6,,4,,,,,,,,6,,,,,2,5,65.8462,58.8652,45.2704
I,55,3901012,1,55109,2,5,2,2,3,1,1,0,0,1,2,2014,12,2014,12,2,,4,1,,,,,,,,,,,,,,,,,,,,,10,30,12,100,0,0,0,0,100,2,5,,,,6,,,,,1,4,,1,60,126,64,60,2,,,,,8,2,,2,,1,2,1,2,3,1,2,,,,,,,1,2,,,,,,,,
J,63,3901066,1,63112,1,1,1,2,1,1,0,0,0,0,1,2015,1,2015,1,2,,2,2,2,0,4,2,1,1,2,5,5,5,,,,,,,,,,,8,23,12,100,0,0,0,0,100,2,5,,,,6,,,,,2,,1,1,2455,64,2,7,55,,,,,4,2,,1,1000,3,6,1,1,3,1,1,,,,,,,1,2,,,,2,4,1.5,1.6667,1.0666
